time,y
2.002002,0.455267
2.012012,0.439329
2.022022,0.423313
2.032032,0.407219
2.042042,0.391049
2.052052,0.374805
2.062062,0.358488
2.072072,0.342100
2.082082,0.325642
2.092092,0.309115
2.102102,0.292522
2.112112,0.275863
2.122122,0.259141
2.132132,0.242356
2.142142,0.225511
2.152152,0.208606
2.162162,0.191644
2.172172,0.174626
2.182182,0.157554
2.192192,0.140429
2.202202,0.123252
2.212212,0.106027
2.222222,0.088753
2.232232,0.071433
2.242242,0.054069
2.252252,0.036662
2.262262,0.019213
2.272272,0.001725
2.282282,-0.015801
2.292292,-0.033363
2.302302,-0.050960
2.312312,-0.068590
2.322322,-0.086251
2.332332,-0.103941
2.342342,-0.121659
2.352352,-0.139403
2.362362,-0.157171
2.372372,-0.174962
2.382382,-0.192774
2.392392,-0.210605
2.402402,-0.228453
2.412412,-0.246316
2.422422,-0.264194
2.432432,-0.282083
2.442442,-0.299983
2.452452,-0.317891
2.462462,-0.335806
2.472472,-0.353726
2.482482,-0.371649
2.492492,-0.389573
2.502503,-0.407497
2.512513,-0.425418
2.522523,-0.443336
2.532533,-0.461247
2.542543,-0.479151
2.552553,-0.497046
2.562563,-0.514929
2.572573,-0.532799
2.582583,-0.550654
2.592593,-0.568493
2.602603,-0.586313
2.612613,-0.604112
2.622623,-0.621889
2.632633,-0.639643
2.642643,-0.657370
2.652653,-0.675070
2.662663,-0.692740
2.672673,-0.710378
2.682683,-0.727984
2.692693,-0.745555
2.702703,-0.763088
2.712713,-0.780584
2.722723,-0.798038
2.732733,-0.815450
2.742743,-0.832818
2.752753,-0.850140
2.762763,-0.867415
2.772773,-0.884639
2.782783,-0.901812
2.792793,-0.918932
2.802803,-0.935997
2.812813,-0.953005
2.822823,-0.969954
2.832833,-0.986842
2.842843,-1.003668
2.852853,-1.020430
2.862863,-1.037126
2.872873,-1.053754
2.882883,-1.070313
2.892893,-1.086800
2.902903,-1.103214
2.912913,-1.119553
2.922923,-1.135815
2.932933,-1.151998
2.942943,-1.168102
2.952953,-1.184123
2.962963,-1.200060
2.972973,-1.215912
2.982983,-1.231676
2.992993,-1.247351
3.003003,-1.262935
3.013013,-1.278427
3.023023,-1.293824
3.033033,-1.309125
3.043043,-1.324328
3.053053,-1.339432
3.063063,-1.354435
3.073073,-1.369334
3.083083,-1.384129
3.093093,-1.398818
3.103103,-1.413398
3.113113,-1.427869
3.123123,-1.442229
3.133133,-1.456475
3.143143,-1.470607
3.153153,-1.484623
3.163163,-1.498520
3.173173,-1.512298
3.183183,-1.525955
3.193193,-1.539489
3.203203,-1.552899
3.213213,-1.566182
3.223223,-1.579339
3.233233,-1.592366
3.243243,-1.605262
3.253253,-1.618026
3.263263,-1.630656
3.273273,-1.643151
3.283283,-1.655509
3.293293,-1.667729
3.303303,-1.679809
3.313313,-1.691748
3.323323,-1.703544
3.333333,-1.715195
3.343343,-1.726701
3.353353,-1.738060
3.363363,-1.749270
3.373373,-1.760331
3.383383,-1.771239
3.393393,-1.781995
3.403403,-1.792597
3.413413,-1.803044
3.423423,-1.813333
3.433433,-1.823465
3.443443,-1.833436
3.453453,-1.843247
3.463463,-1.852896
3.473473,-1.862381
3.483483,-1.871702
3.493493,-1.880857
3.503504,-1.889844
3.513514,-1.898663
3.523524,-1.907312
3.533534,-1.915791
3.543544,-1.924097
3.553554,-1.932230
3.563564,-1.940189
3.573574,-1.947973
3.583584,-1.955580
3.593594,-1.963009
3.603604,-1.970259
3.613614,-1.977329
3.623624,-1.984218
3.633634,-1.990926
3.643644,-1.997450
3.653654,-2.003790
3.663664,-2.009945
3.673674,-2.015915
3.683684,-2.021697
3.693694,-2.027291
3.703704,-2.032697
3.713714,-2.037912
3.723724,-2.042937
3.733734,-2.047771
3.743744,-2.052412
3.753754,-2.056860
3.763764,-2.061113
3.773774,-2.065172
3.783784,-2.069035
3.793794,-2.072702
3.803804,-2.076172
3.813814,-2.079444
3.823824,-2.082517
3.833834,-2.085390
3.843844,-2.088064
3.853854,-2.090537
3.863864,-2.092809
3.873874,-2.094879
3.883884,-2.096747
3.893894,-2.098411
3.903904,-2.099872
3.913914,-2.101128
3.923924,-2.102180
3.933934,-2.103026
3.943944,-2.103667
3.953954,-2.104102
3.963964,-2.104330
3.973974,-2.104351
3.983984,-2.104164
3.993994,-2.103770
4.004004,-2.103168
4.014014,-2.102357
4.024024,-2.101337
4.034034,-2.100108
4.044044,-2.098669
4.054054,-2.097021
4.064064,-2.095163
4.074074,-2.093094
4.084084,-2.090815
4.094094,-2.088326
4.104104,-2.085626
4.114114,-2.082715
4.124124,-2.079593
4.134134,-2.076260
4.144144,-2.072716
4.154154,-2.068961
4.164164,-2.064994
4.174174,-2.060816
4.184184,-2.056427
4.194194,-2.051827
4.204204,-2.047016
4.214214,-2.041993
4.224224,-2.036760
4.234234,-2.031316
4.244244,-2.025661
4.254254,-2.019795
4.264264,-2.013719
4.274274,-2.007433
4.284284,-2.000937
4.294294,-1.994231
4.304304,-1.987316
4.314314,-1.980191
4.324324,-1.972858
4.334334,-1.965316
4.344344,-1.957566
4.354354,-1.949608
4.364364,-1.941443
4.374374,-1.933071
4.384384,-1.924493
4.394394,-1.915708
4.404404,-1.906718
4.414414,-1.897522
4.424424,-1.888122
4.434434,-1.878519
4.444444,-1.868711
4.454454,-1.858701
4.464464,-1.848489
4.474474,-1.838075
4.484484,-1.827460
4.494494,-1.816645
4.504505,-1.805630
4.514515,-1.794416
4.524525,-1.783005
4.534535,-1.771396
4.544545,-1.759590
4.554555,-1.747589
4.564565,-1.735393
4.574575,-1.723003
4.584585,-1.710420
4.594595,-1.697644
4.604605,-1.684677
4.614615,-1.671520
4.624625,-1.658173
4.634635,-1.644637
4.644645,-1.630914
4.654655,-1.617005
4.664665,-1.602910
4.674675,-1.588631
4.684685,-1.574168
4.694695,-1.559524
4.704705,-1.544698
4.714715,-1.529692
4.724725,-1.514507
4.734735,-1.499145
4.744745,-1.483606
4.754755,-1.467892
4.764765,-1.452005
4.774775,-1.435944
4.784785,-1.419712
4.794795,-1.403310
4.804805,-1.386740
4.814815,-1.370002
4.824825,-1.353097
4.834835,-1.336029
4.844845,-1.318796
4.854855,-1.301402
4.864865,-1.283848
4.874875,-1.266134
4.884885,-1.248264
4.894895,-1.230237
4.904905,-1.212055
4.914915,-1.193721
4.924925,-1.175235
4.934935,-1.156599
4.944945,-1.137815
4.954955,-1.118885
4.964965,-1.099809
4.974975,-1.080590
4.984985,-1.061229
4.994995,-1.041729
5.005005,-1.022090
5.015015,-1.002314
5.025025,-0.982403
5.035035,-0.962359
5.045045,-0.942184
5.055055,-0.921879
5.065065,-0.901446
5.075075,-0.880887
5.085085,-0.860204
5.095095,-0.839398
5.105105,-0.818472
5.115115,-0.797428
5.125125,-0.776266
5.135135,-0.754990
5.145145,-0.733601
5.155155,-0.712100
5.165165,-0.690491
5.175175,-0.668775
5.185185,-0.646953
5.195195,-0.625028
5.205205,-0.603003
5.215215,-0.580878
5.225225,-0.558656
5.235235,-0.536339
5.245245,-0.513929
5.255255,-0.491428
5.265265,-0.468839
5.275275,-0.446163
5.285285,-0.423402
5.295295,-0.400558
5.305305,-0.377635
5.315315,-0.354633
5.325325,-0.331555
5.335335,-0.308404
5.345345,-0.285181
5.355355,-0.261888
5.365365,-0.238528
5.375375,-0.215103
5.385385,-0.191616
5.395395,-0.168068
5.405405,-0.144461
5.415415,-0.120799
5.425425,-0.097083
5.435435,-0.073315
5.445445,-0.049498
5.455455,-0.025634
5.465465,-0.001726
5.475475,0.022225
5.485485,0.046216
5.495495,0.070244
5.505506,0.094307
5.515516,0.118404
5.525526,0.142530
5.535536,0.166686
5.545546,0.190866
5.555556,0.215071
5.565566,0.239296
5.575576,0.263540
5.585586,0.287801
5.595596,0.312075
5.605606,0.336361
5.615616,0.360655
5.625626,0.384957
5.635636,0.409262
5.645646,0.433569
5.655656,0.457876
5.665666,0.482179
5.675676,0.506477
5.685686,0.530767
5.695696,0.555046
5.705706,0.579313
5.715716,0.603564
5.725726,0.627797
5.735736,0.652010
5.745746,0.676200
5.755756,0.700364
5.765766,0.724501
5.775776,0.748608
5.785786,0.772682
5.795796,0.796721
5.805806,0.820723
5.815816,0.844684
5.825826,0.868603
5.835836,0.892476
5.845846,0.916302
5.855856,0.940078
5.865866,0.963802
5.875876,0.987470
5.885886,1.011081
5.895896,1.034632
5.905906,1.058121
5.915916,1.081544
5.925926,1.104901
5.935936,1.128187
5.945946,1.151401
5.955956,1.174541
5.965966,1.197603
5.975976,1.220586
5.985986,1.243486
5.995996,1.266302
6.006006,1.289030
6.016016,1.311670
6.026026,1.334217
6.036036,1.356670
6.046046,1.379026
6.056056,1.401283
6.066066,1.423439
6.076076,1.445490
6.086086,1.467435
6.096096,1.489271
6.106106,1.510996
6.116116,1.532607
6.126126,1.554102
6.136136,1.575479
6.146146,1.596735
6.156156,1.617868
6.166166,1.638875
6.176176,1.659755
6.186186,1.680504
6.196196,1.701121
6.206206,1.721604
6.216216,1.741949
6.226226,1.762155
6.236236,1.782219
6.246246,1.802139
6.256256,1.821913
6.266266,1.841539
6.276276,1.861014
6.286286,1.880336
6.296296,1.899502
6.306306,1.918512
6.316316,1.937361
6.326326,1.956049
6.336336,1.974573
6.346346,1.992931
6.356356,2.011121
6.366366,2.029140
6.376376,2.046987
6.386386,2.064658
6.396396,2.082154
6.406406,2.099470
6.416416,2.116605
6.426426,2.133558
6.436436,2.150325
6.446446,2.166906
6.456456,2.183297
6.466466,2.199497
6.476476,2.215504
6.486486,2.231316
6.496496,2.246931
6.506507,2.262347
6.516517,2.277563
6.526527,2.292575
6.536537,2.307383
6.546547,2.321985
6.556557,2.336378
6.566567,2.350560
6.576577,2.364531
6.586587,2.378288
6.596597,2.391830
6.606607,2.405154
6.616617,2.418258
6.626627,2.431142
6.636637,2.443804
6.646647,2.456241
6.656657,2.468452
6.666667,2.480435
6.676677,2.492190
6.686687,2.503713
6.696697,2.515004
6.706707,2.526061
6.716717,2.536883
6.726727,2.547467
6.736737,2.557813
6.746747,2.567918
6.756757,2.577782
6.766767,2.587403
6.776777,2.596780
6.786787,2.605910
6.796797,2.614794
6.806807,2.623428
6.816817,2.631813
6.826827,2.639946
6.836837,2.647827
6.846847,2.655454
6.856857,2.662826
6.866867,2.669942
6.876877,2.676800
6.886887,2.683399
6.896897,2.689738
6.906907,2.695817
6.916917,2.701633
6.926927,2.707186
6.936937,2.712475
6.946947,2.717498
6.956957,2.722255
6.966967,2.726745
6.976977,2.730966
6.986987,2.734918
6.996997,2.738600
7.007007,2.742011
7.017017,2.745150
7.027027,2.748017
7.037037,2.750609
7.047047,2.752928
7.057057,2.754971
7.067067,2.756738
7.077077,2.758229
7.087087,2.759443
7.097097,2.760378
7.107107,2.761036
7.117117,2.761414
7.127127,2.761512
7.137137,2.761330
7.147147,2.760867
7.157157,2.760123
7.167167,2.759097
7.177177,2.757789
7.187187,2.756198
7.197197,2.754324
7.207207,2.752167
7.217217,2.749726
7.227227,2.747002
7.237237,2.743992
7.247247,2.740699
7.257257,2.737120
7.267267,2.733257
7.277277,2.729108
7.287287,2.724674
7.297297,2.719955
7.307307,2.714950
7.317317,2.709659
7.327327,2.704084
7.337337,2.698222
7.347347,2.692075
7.357357,2.685643
7.367367,2.678925
7.377377,2.671922
7.387387,2.664633
7.397397,2.657060
7.407407,2.649202
7.417417,2.641060
7.427427,2.632633
7.437437,2.623923
7.447447,2.614928
7.457457,2.605651
7.467467,2.596090
7.477477,2.586247
7.487487,2.576122
7.497497,2.565715
7.507508,2.555028
7.517518,2.544059
7.527528,2.532811
7.537538,2.521283
7.547548,2.509476
7.557558,2.497391
7.567568,2.485028
7.577578,2.472389
7.587588,2.459473
7.597598,2.446282
7.607608,2.432816
7.617618,2.419077
7.627628,2.405064
7.637638,2.390780
7.647648,2.376224
7.657658,2.361398
7.667668,2.346303
7.677678,2.330939
7.687688,2.315308
7.697698,2.299411
7.707708,2.283249
7.717718,2.266822
7.727728,2.250133
7.737738,2.233181
7.747748,2.215969
7.757758,2.198498
7.767768,2.180769
7.777778,2.162782
7.787788,2.144540
7.797798,2.126044
7.807808,2.107295
7.817818,2.088294
7.827828,2.069043
7.837838,2.049543
7.847848,2.029797
7.857858,2.009804
7.867868,1.989567
7.877878,1.969088
7.887888,1.948367
7.897898,1.927407
7.907908,1.906209
7.917918,1.884775
7.927928,1.863106
7.937938,1.841205
7.947948,1.819073
7.957958,1.796711
7.967968,1.774121
7.977978,1.751306
7.987988,1.728267
7.997998,1.705006
8.008008,1.681525
8.018018,1.657826
8.028028,1.633911
8.038038,1.609781
8.048048,1.585439
8.058058,1.560887
8.068068,1.536127
8.078078,1.511160
8.088088,1.485990
8.098098,1.460617
8.108108,1.435045
8.118118,1.409275
8.128128,1.383310
8.138138,1.357152
8.148148,1.330803
8.158158,1.304265
8.168168,1.277540
8.178178,1.250632
8.188188,1.223542
8.198198,1.196272
8.208208,1.168826
8.218218,1.141205
8.228228,1.113411
8.238238,1.085448
8.248248,1.057318
8.258258,1.029023
8.268268,1.000566
8.278278,0.971949
8.288288,0.943175
8.298298,0.914246
8.308308,0.885165
8.318318,0.855935
8.328328,0.826558
8.338338,0.797037
8.348348,0.767375
8.358358,0.737574
8.368368,0.707637
8.378378,0.677566
8.388388,0.647365
8.398398,0.617037
8.408408,0.586583
8.418418,0.556007
8.428428,0.525312
8.438438,0.494501
8.448448,0.463576
8.458458,0.432540
8.468468,0.401396
8.478478,0.370147
8.488488,0.338796
8.498498,0.307346
8.508509,0.275800
8.518519,0.244161
8.528529,0.212432
8.538539,0.180615
8.548549,0.148715
8.558559,0.116733
8.568569,0.084673
8.578579,0.052539
8.588589,0.020332
8.598599,-0.011944
8.608609,-0.044285
8.618619,-0.076689
8.628629,-0.109152
8.638639,-0.141672
8.648649,-0.174245
8.658659,-0.206868
8.668669,-0.239538
8.678679,-0.272252
8.688689,-0.305006
8.698699,-0.337797
8.708709,-0.370623
8.718719,-0.403479
8.728729,-0.436363
8.738739,-0.469272
8.748749,-0.502201
8.758759,-0.535149
8.768769,-0.568111
8.778779,-0.601084
8.788789,-0.634065
8.798799,-0.667052
8.808809,-0.700039
8.818819,-0.733025
8.828829,-0.766005
8.838839,-0.798978
8.848849,-0.831938
8.858859,-0.864883
8.868869,-0.897810
8.878879,-0.930715
8.888889,-0.963594
8.898899,-0.996446
8.908909,-1.029265
8.918919,-1.062049
8.928929,-1.094795
8.938939,-1.127499
8.948949,-1.160157
8.958959,-1.192767
8.968969,-1.225325
8.978979,-1.257828
8.988989,-1.290271
8.998999,-1.322653
9.009009,-1.354969
9.019019,-1.387216
9.029029,-1.419391
9.039039,-1.451491
9.049049,-1.483511
9.059059,-1.515450
9.069069,-1.547302
9.079079,-1.579065
9.089089,-1.610736
9.099099,-1.642312
9.109109,-1.673788
9.119119,-1.705161
9.129129,-1.736429
9.139139,-1.767588
9.149149,-1.798634
9.159159,-1.829564
9.169169,-1.860375
9.179179,-1.891064
9.189189,-1.921627
9.199199,-1.952060
9.209209,-1.982361
9.219219,-2.012527
9.229229,-2.042553
9.239239,-2.072437
9.249249,-2.102175
9.259259,-2.131765
9.269269,-2.161202
9.279279,-2.190484
9.289289,-2.219608
9.299299,-2.248569
9.309309,-2.277366
9.319319,-2.305994
9.329329,-2.334450
9.339339,-2.362732
9.349349,-2.390836
9.359359,-2.418759
9.369369,-2.446498
9.379379,-2.474049
9.389389,-2.501410
9.399399,-2.528578
9.409409,-2.555548
9.419419,-2.582319
9.429429,-2.608887
9.439439,-2.635249
9.449449,-2.661402
9.459459,-2.687343
9.469469,-2.713069
9.479479,-2.738576
9.489489,-2.763863
9.499499,-2.788926
9.509510,-2.813762
9.519520,-2.838368
9.529530,-2.862741
9.539540,-2.886878
9.549550,-2.910777
9.559560,-2.934434
9.569570,-2.957847
9.579580,-2.981012
9.589590,-3.003928
9.599600,-3.026591
9.609610,-3.048998
9.619620,-3.071147
9.629630,-3.093035
9.639640,-3.114660
9.649650,-3.136018
9.659660,-3.157107
9.669670,-3.177924
9.679680,-3.198466
9.689690,-3.218732
9.699700,-3.238719
9.709710,-3.258423
9.719720,-3.277842
9.729730,-3.296975
9.739740,-3.315818
9.749750,-3.334368
9.759760,-3.352625
9.769770,-3.370584
9.779780,-3.388244
9.789790,-3.405602
9.799800,-3.422657
9.809810,-3.439405
9.819820,-3.455845
9.829830,-3.471973
9.839840,-3.487789
9.849850,-3.503289
9.859860,-3.518472
9.869870,-3.533336
9.879880,-3.547877
9.889890,-3.562095
9.899900,-3.575987
9.909910,-3.589551
9.919920,-3.602785
9.929930,-3.615688
9.939940,-3.628256
9.949950,-3.640489
9.959960,-3.652384
9.969970,-3.663940
9.979980,-3.675155
9.989990,-3.686026
10.000000,-3.696552
